sl_no,company,country,country_code,market_cap,diversity,stock_price_2015,stock_price_2016,stock_price_2017,stock_price_2018,stock_price_2019,stock_price_2020,stock_price_2021,stock_price_2022,stock_price_2023,stock_price_2024,expense_2015,expense_2016,expense_2017,expense_2018,expense_2019,expense_2020,expense_2021,expense_2022,expense_2023,expense_2024,revenue_2015,revenue_2016,revenue_2017,revenue_2018,revenue_2019,revenue_2020,revenue_2021,revenue_2022,revenue_2023,revenue_2024,market_share_2015,market_share_2016,market_share_2017,market_share_2018,market_share_2019,market_share_2020,market_share_2021,market_share_2022,market_share_2023,market_share_2024
451,Shufflester,Iran,IRR,4010000000.0,31.1,2240000000.0,276210000.0,0.0,0.0,1370000000.0,369780000.0,476740000.0,6300000000.0,727120000.0,1460000000.0,22288813.21,2842061.39,67858555.71,43336976.15,15837495.01,9234823.31,71021650.32,6638529.66,27477124.02,85566108.14,67543651.06,87547252.17,12553289.08,43124816.79,89200755.01,34301332.57,57131567.63,59961516.59,76572875.71,89882694.94,32.81,51.58,78.95,21.16,54.56,96.53,50.54,52.06,90.61,3.07
530,Oloo,Brazil,BRL,2780000000.0,44.1,2250000000.0,5070000000.0,690580000.0,18510000.0,4610000000.0,7070000.0,1600000000.0,0.0,0.0,3810000000.0,40159330.96,55335520.18,45463356.23,41939566.46,74064470.52,3468759.17,41258119.19,7542043.6,62898974.4,63430386.57,71956026.01,9211175.26,67605363.23,56579426.81,4414813.75,89910483.45,27519171.39,82131174.65,27538525.56,2487595.38,1.11,64.14,43.51,95.75,81.71,6.66,19.28,4.78,19.16,94.79
515,Rhyzio,Greece,EUR,8420000000.0,60.1,226810000000.0,219920000.0,5540000000.0,305600000.0,1230000000.0,264560000.0,23690000000.0,7440000000.0,16210000000.0,1550000000.0,36817.79,62525215.73,42936808.1,48494564.03,9459941.28,52719115.71,80643630.89,75726082.2,854238.54,41709153.74,82802053.13,55880977.09,82162972.44,35014265.05,15599592.03,53321227.05,70652561.37,45809075.1,47617725.18,42694120.81,36.65,94.66,66.3,19.78,12.74,23.92,50.38,81.4,84.03,44.91
682,Skinix,Poland,PLN,24350000.0,67.8,2260000000.0,9460000000.0,5540000000.0,153960000.0,0.0,1630000000.0,3020000000.0,540440000000.00006,0.0,7480000000.0,11082794.1,3342564.08,46897964.57,14036207.2,57909100.1,8357247.37,41122313.21,81950226.14,96511308.76,58450950.73,15770906.22,34014122.67,6515638.67,2109208.18,30138532.67,32632529.66,95261371.08,75455660.01,79924409.71,72498647.1,76.37,76.86,46.32,89.8,58.43,22.61,75.41,58.06,53.43,56.12
91,Bubblemix,Sweden,SEK,161770000.0,64.2,2270000000.0,541620000.0,184630000.0,772290000.0,2140000000.0000002,4820000000.0,0.0,13230000000.0,5840000000.0,0.0,69209281.54,86762283.06,49593642.38,77691976.13,10578434.33,67161467.68,68609591.75,31316666.99,91240386.08,41776038.57,15384645.46,62853692.34,9206948.56,63088521.32,1292318.48,78537382.22,17369563.57,59087767.46,17361643.58,69602071.39,76.32,31.02,74.4,6.87,63.9,40.71,87.58,46.2,21.02,36.89
404,Shuffletag,Sweden,SEK,804760000.0,83.1,228020000.0,99400000.0,0.0,6840000000.0,1600000000.0,1660000000.0,393250000.0,75940000.0,3480000000.0,442250000.0,60767096.96,88344599.14,33873282.06,82252526.91,59210175.19,52453323.2,94021444.03,36551609.66,25615383.45,24020696.13,26943906.99,5693548.9,50617301.98,81358414.36,68198533.07,62853741.98,90987051.21,26753724.97,3233825.01,58114417.43,11.97,75.19,37.35,62.84,55.0,42.12,95.98,91.65,62.79,37.05
950,Lazz,France,EUR,29170000.0,65.4,2280000000.0,2049999999.9999998,2440000.0,8810000000.0,480690000.0,9120000000.0,22510000.0,4610000000.0,1830000000.0,2069999999.9999998,32057887.54,82579371.12,30020572.51,23133819.9,27983808.01,35312378.5,94757592.62,80181761.01,95461597.42,458764.01,71835504.32,75158823.87,93168626.99,20642815.69,43708611.96,58943738.08,44311894.85,42647214.3,85840893.39,60307032.18,87.92,92.72,66.18,97.44,94.46,86.1,74.28,20.48,25.62,39.22
580,Npath,Colombia,COP,0.0,52.7,229320000000.0,130020000.00000001,90060000.0,21660000.0,654140000.0,2880000000.0,590400000.0,99100000.0,1490000000.0,531539999.99999994,8852815.26,86047011.52,13487451.05,85181820.8,76163807.92,93811811.15,68857190.58,23026192.12,62838291.05,39868262.49,40466264.51,13196228.71,16015474.78,51976464.47,58614272.66,54299002.34,86745271.21,27351788.86,46350941.14,89711549.87,30.09,53.32,73.11,12.71,29.54,30.41,8.04,29.36,37.53,17.22
445,Browsecat,Indonesia,IDR,125850000.0,68.6,229800000.0,1980000000.0,276340000.0,5040000000.0,374400000.0,454000000.0,182920000.0,7550000000.0,2340000000.0,0.0,19721588.86,98123619.76,27640148.81,60467727.6,99046877.53,86323644.31,8654951.67,70241317.22,99801889.18,41757023.64,75686648.45,93035951.99,82881177.66,74087157.88,20275566.49,3588907.04,45093190.92,47038766.1,89655377.52,86561092.9,15.41,82.45,63.18,96.08,39.24,6.24,65.53,42.79,86.39,49.34
397,Skaboo,Russia,RUB,251250000.0,88.0,2200000000.0,347040000.0,13530000000.0,183150000.0,0.0,26420000000.0,553690000.0,8140000000.000001,7900000000.0,1160000000.0,87930436.91,2928696.33,63508903.43,35697108.17,92146301.83,86613255.64,44615844.34,95269106.14,32819640.56,26289241.25,75764100.09,51853068.41,87488603.62,51819410.3,63801738.64,57384921.73,70206470.46,60372689.26,33779000.85,95273637.99,23.78,33.92,15.1,57.8,62.68,90.16,93.17,23.97,4.68,5.73
381,Babbleopia,Portugal,EUR,7170000000.0,69.0,23110000000.0,8020000000.0,119140000.0,31830000.0,1090000000.0,87460000000.0,137300000.0,33830000.0,1340000000.0,1270000000.0,79364610.7,69511014.02,89689806.21,45648000.59,21490528.26,25999454.94,93581714.78,24408221.51,14415879.13,48723196.3,86435721.35,79413995.73,70462467.0,22528617.34,54756941.46,9837715.12,52450264.66,18571983.65,62806032.33,17132775.52,5.62,83.22,94.76,58.32,13.94,65.48,55.63,35.19,18.39,6.06
480,Trilith,Cameroon,XAF,4269999999.9999995,62.8,233830000.0,24700000.0,2860000000.0,231870000.0,16350000.000000002,1960000000.0,380140000.0,267540000.00000003,7640000.0,1200000000.0,6841964.85,61818308.19,39220695.43,71806276.52,27262027.44,79505244.66,91378425.71,23983858.66,53743823.09,92431496.19,82361860.28,13483693.02,18099296.2,38955907.95,73604139.48,68592239.79,25273146.86,17285670.04,46684796.45,6655383.63,59.95,68.24,57.76,62.19,3.33,22.17,49.32,67.52,18.19,34.12
174,Feedmix,Yemen,YER,176550000.0,45.9,2340000000.0,53830000.0,1680000000.0,0.0,3500000000.0,12840000000.0,0.0,0.0,7790000000.0,93580000.0,33230228.67,81104151.37,70424299.5,90746789.3,60590894.34,75043959.02,25903457.14,33933726.62,37389370.09,53214785.87,23079728.54,72634452.54,3939385.27,25594342.95,3108678.38,51492867.22,86915827.62,25526770.15,5428145.79,26269582.45,48.97,26.23,44.59,25.25,74.55,3.06,4.4,57.92,86.01,59.88
46,Buzzshare,Russia,RUB,145490000.0,49.0,2350000000.0,763420000.0,497620000.0,0.0,96670000000.0,3960000000.0,26500000000.0,628130000.0,1550000000.0,0.0,53972784.34,26640165.35,47933725.14,32733916.14,96367267.04,72007115.61,88082573.65,33553471.26,96787895.08,44277654.94,57472044.15,20656081.68,74159288.24,62677570.13,84610927.8,48986040.02,42029461.48,57161350.7,71877156.91,16609165.97,33.89,92.16,96.2,2.89,89.8,50.58,94.26,51.92,67.31,1.05
356,Agimba,China,CNY,6010000000.0,52.6,2350000000.0,608380000.0,354970000.0,4600000.0,51070000.0,0.0,8920000000.0,2880000000.0,617530000.0,156020000000.0,47710709.69,77371843.88,68511165.84,89079537.33,52861648.79,28991325.62,83727168.18,52424847.78,48532040.71,65394800.14,17890144.62,99661928.8,54514567.77,51497236.68,53398626.05,50578421.65,98083873.13,93515483.47,77403916.26,84683770.92,3.43,9.93,10.04,94.9,75.34,65.33,38.95,32.99,71.12,55.1
484,Buzzbean,Canada,CAD,0.0,91.1,2350000000.0,0.0,79440000000.0,5730000.0,390470000.0,138360000.0,203150000.0,0.0,0.0,415620000.0,278374.54,20053804.77,94440935.58,21751486.18,36716962.31,37435649.6,29238029.71,35365233.65,81200519.03,97188536.82,24373096.03,66709493.53,93935316.7,49871951.06,30969160.05,29658408.48,37576722.5,79124862.96,60355368.34,21405411.66,31.29,71.21,85.21,80.33,43.18,27.67,48.12,27.04,21.61,55.6
728,Tekfly,Greece,EUR,264560000.0,23.0,238940000.0,181240000.0,0.0,674560000.0,0.0,6480000000.0,618480000.0,315760000.0,349290000.0,1350000000.0,2572869.28,33728457.56,25777664.68,84657137.76,58098796.4,3211762.45,1196337.01,16030410.74,26393231.1,11990246.59,99037973.98,93110800.42,72467468.54,77620813.53,21285226.54,20322281.27,32672095.65,85612247.02,64614231.76,43078551.87,20.32,82.83,28.11,40.65,18.31,87.18,88.11,95.85,52.09,21.07
10,Abatz,Indonesia,IDR,488160000.0,74.7,239770000.0,16969999999.999998,5000000000.0,0.0,13650000000.0,46060000.0,0.0,134830000.0,84710000.0,40320000.0,74262885.24,31479420.81,24647335.37,77786698.32,74802800.24,93746459.51,53326241.53,70688943.77,47020224.54,71149576.09,11826216.3,25795973.1,8761293.27,93466692.02,10124568.3,93969371.89,17609823.9,14690513.78,64877205.78,24598116.61,68.65,82.74,38.37,92.5,71.68,91.64,13.91,61.39,44.07,19.46
399,Kazu,Philippines,PHP,0.0,53.1,2300000000.0,2710000000.0,35010000.0,6970000000.0,148930000.0,0.0,0.0,0.0,104020000.0,0.0,16426755.82,66419311.31,18933588.61,34250873.77,52746795.68,86668693.22,5928429.19,89648418.46,80919843.85,39700552.74,89566928.47,54300794.75,78302244.11,40834594.02,62424227.53,17529235.76,79003845.91,68943528.61,27027000.74,91770352.94,77.45,33.98,49.75,5.43,99.26,85.08,33.07,82.64,19.21,75.47
16,Miboo,China,CNY,80330000.0,20.7,24170000000.0,3110000000.0,0.0,0.0,3460000000.0,43500000.0,437260000.0,3330000000.0,4090000000.0,8520000000.0,16610824.32,1371240.54,70687886.92,40752962.55,27674819.77,98666789.66,82377582.45,4937164.51,50193695.27,60053134.29,23486426.71,48808414.92,33207782.67,68231390.91,63375463.45,80567130.93,92131493.45,18720419.34,89233990.14,21335813.28,22.91,61.09,84.33,26.62,38.54,9.24,91.88,77.82,57.01,55.25
594,Browseblab,Philippines,PHP,172900000.0,90.3,2410000000.0,0.0,364090000.0,1530000000.0,195960000.0,89570000.0,975440000.0,3650000000.0,332050000.0,56460000.0,35145621.02,21626719.05,98106917.72,89093726.51,30523210.66,26041854.67,21776528.79,74012692.14,22560208.04,18772255.15,79199301.09,51075945.61,60724703.8,10096995.02,21348792.13,53487966.09,43912770.24,30686725.01,29415298.41,25951022.18,48.53,89.38,33.1,72.28,50.24,16.01,77.54,21.96,39.25,92.84
260,Flipopia,Sweden,SEK,452190000.0,33.2,24230000.0,52700000000.0,0.0,0.0,392940000.0,617060000.0,24060000000.0,3180000000.0,38180000.0,165720000.0,66779251.6,57175347.08,94566690.63,91573343.32,58258384.53,29684694.66,88095933.44,41425380.23,52090819.71,78409792.7,19374344.75,79580728.3,21768526.75,14709610.1,90939113.69,52369703.53,89210579.52,28069029.01,42011925.7,37609747.33,84.84,22.35,8.89,19.67,57.56,88.65,89.13,99.65,82.17,65.04
804,Dazzlesphere,Thailand,THB,356570000.0,42.9,243600000.0,25180000000.0,10190000000.0,532950000.00000006,0.0,2160000000.0,1500000000.0,49790000.0,1590000000.0,12970000000.0,29504437.32,62046878.93,29035454.38,15994699.35,86448517.8,21106367.06,73081009.55,4259269.59,19735503.34,96171786.31,84363435.82,72786587.08,65916059.11,56272891.46,23767379.01,31529668.87,98174384.46,26317030.58,47217668.52,60038124.53,9.08,6.18,59.28,8.61,75.33,72.76,93.78,46.38,34.94,62.03
830,Demimbu,Croatia,HRK,719350000.0,59.7,24370000000.0,127250000.0,1040000000.0,664710000.0,905460000.0,4210000000.0,3000000000.0,10510000000.0,200590000.0,513320000.00000006,50250916.14,78896368.62,1353731.71,8013913.13,70277998.84,85815559.62,57499226.56,46550828.66,52215823.42,77763943.06,80257374.29,95353284.53,40396934.83,20302290.78,79269206.36,7025549.39,42593454.94,17244742.8,29131608.79,61121177.61,99.55,36.88,38.62,64.41,81.78,60.28,72.5,44.99,94.26,95.56
284,Twimm,Portugal,EUR,71120000000.0,86.5,2440000.0,7150000000.0,175030000000.0,14360000000.0,757600000.0,2450000000.0,61000000.0,3410000000.0,3180000000.0,0.0,68808059.15,95242258.53,4838864.63,21975759.5,85412028.78,51311519.48,19323822.7,57053304.51,12308455.57,91143273.51,83437727.32,24938636.59,30134877.92,8018237.23,58717127.17,45416632.06,35294436.64,74411915.29,34424338.14,57920550.02,44.91,92.98,71.82,94.28,58.95,91.74,58.01,14.63,52.89,7.55
999,Realmix,Indonesia,IDR,1600000000.0,60.3,2440000.0,250050000.0,1620000000.0,107750000000.0,1380000000.0,6590000000.0,488160000.0,45890000000.0,93340000.0,0.0,73327450.36,11030723.85,76224371.91,85945479.67,96190641.47,37796073.62,94625699.74,45435035.48,60997666.65,92869122.28,80286673.36,88465441.49,35744799.77,99731121.15,58029797.77,64268496.17,815960.26,34106051.26,2481049.51,56861715.24,38.74,44.46,63.14,51.84,40.8,91.5,5.96,35.84,66.57,62.9
193,Realblab,Brazil,BRL,320190000.0,65.2,2440000.0,2380000000.0,952000000.0,0.0,118130000.0,3720000000.0,479460000.0,7200000000.0,2900000000.0,534380000.0,57154966.85,47843947.67,6248684.04,47625149.8,80483818.78,9176460.87,39053249.14,16020016.01,50203938.63,69091409.04,41723684.18,84394029.57,34796842.37,46192698.28,56353235.92,14519502.02,79066883.46,8023586.42,85544921.77,54193369.57,77.23,49.44,35.25,99.42,46.21,35.51,60.91,28.96,81.78,64.97
541,Vipe,Afghanistan,AFN,667730000.0,31.2,2440000.0,0.0,816590000.0,0.0,333240000.0,71650000.0,1280000000.0,40220000.0,267540000.00000003,513580000.00000006,70739717.01,7099359.22,90019376.81,96277892.96,84287636.62,47056045.06,68059749.09,7981033.56,84522708.4,67034680.95,32064849.67,13484828.9,64996558.09,4387503.28,67163896.0,34343087.72,56899677.19,51138965.79,32204803.5,87480147.32,86.87,50.89,54.77,21.17,69.08,48.88,66.1,66.41,76.94,33.02
903,Mynte,Japan,JPY,5410000000.0,95.0,2450000000.0,145930000.0,0.0,29720000.0,4390000000.0,741390000.0,10590000000.0,25850000.0,3790000000.0,18340000.0,29347741.27,60910687.26,66244335.3,65890015.73,58550522.15,27519833.61,33086245.56,31446867.84,20803873.78,59575235.76,2866609.61,42895338.72,257984.07,78748006.53,25068318.2,26542731.62,43068644.41,94501706.01,87903082.35,87485517.5,11.82,80.45,29.99,93.48,29.42,87.02,18.79,42.48,18.31,52.56
535,Rhyzio,China,CNY,126610000.0,45.5,2450000000.0,94830000.0,188850000.0,0.0,289760000.0,781270000.0,59330000.0,233080000.0,215850000.0,744130000.0,76526569.65,43734961.48,60615014.3,30426382.89,17065724.47,35794339.0,77741921.91,1504971.97,38981723.69,39123863.82,64797192.11,29922051.77,48499933.68,20772539.11,24080829.79,84297943.43,72956510.36,82920809.91,25131651.35,50509196.98,73.75,28.81,37.18,23.82,24.45,79.88,87.32,30.14,35.51,74.7
442,Jayo,Portugal,EUR,36760000000.0,88.8,2450000000.0,7220000000.0,318660000.0,0.0,164150000.0,0.0,13130000000.0,86020000.0,1780000000.0,22850000.0,62331572.48,19190549.16,31924198.64,26157529.88,7042821.69,92629584.04,11832026.21,81310599.21,89642605.75,70615158.0,48405390.07,20691955.31,39551368.32,34754519.37,26710186.65,98495239.14,54302291.19,88264310.74,3867818.76,25876915.8,14.11,75.68,66.27,80.54,9.07,76.64,86.31,8.42,37.04,84.72
941,Skaboo,Honduras,HNL,0.0,70.4,2460000000.0,611820000.0,896080000.0,4110000.0000000005,79360000.0,8130000000.000001,4770000.0,3490000000.0,10840000000.0,0.0,26379245.95,8020064.82,95957412.22,63638983.86,84104422.89,97997254.18,50256307.54,39689239.68,61941754.97,65127682.8,44713034.96,56952210.75,86217740.61,53223070.83,52478034.32,81387100.71,67753919.04,94681119.6,83534615.33,8173020.34,9.22,73.04,47.2,96.28,18.07,92.64,81.05,53.89,36.45,68.84
449,Devpulse,Denmark,DKK,4110000000.0000005,94.7,250200000.0,9640000000.0,199670000.0,244930000.0,1540000000.0,17750000000.0,1820000000.0,1880000000.0,8630000000.0,364190000.0,57767193.78,65942904.22,44152803.29,4252961.02,78145064.73,59962561.72,15870392.69,56448910.63,3331497.26,50371062.16,13811814.5,35316853.53,85970192.57,88302613.85,95785006.37,13961603.84,34140419.71,25428713.36,87827307.68,25113420.32,67.93,35.29,58.62,59.69,97.28,7.14,75.99,12.52,55.23,5.66
847,Meejo,Greece,EUR,2170000000.0,75.0,251770000.0,780460000.0,52170000.0,2160000000.0,13150000.0,3160000000.0,277820000.0,0.0,3730000000.0,626700000.0,55586578.14,24194024.72,36998197.86,49885165.93,12387295.07,10554894.34,5363585.88,41133002.25,7021310.33,65237217.34,33709638.82,34174809.53,98780346.42,66887956.75,44434148.13,25484619.72,67607204.45,27409077.84,54366138.33,63448444.84,84.01,84.34,42.69,90.51,13.05,52.21,22.05,62.78,18.5,47.15
361,Rhynoodle,Egypt,EGP,732830000.0,82.8,2510000000.0,0.0,6150000000.0,3350000000.0,25910000000.0,542420000.0,0.0,6190000000.0,1520000000.0,4580000.0,67900527.24,66060591.14,24868293.37,91543846.37,27813596.12,86345038.12,46403793.53,59621127.0,47601932.05,58834359.15,58283244.75,97538750.43,60473449.58,65590369.8,28875447.48,8038818.0,73707981.94,34226608.36,50140719.74,96044600.36,95.78,71.53,49.02,90.05,51.89,12.48,99.98,52.21,99.0,13.64
59,Ntags,Thailand,THB,0.0,73.7,2510000000.0,213580000.0,20040000000.0,4330000000.0,32390000000.0,3770000000.0,18840000000.0,176920000.0,11740000000.0,1150000000.0,13307305.12,2945631.95,32289371.21,74015363.23,61484702.47,3467929.79,82725782.16,14233160.41,92063509.17,24009582.11,20759984.33,4835882.24,40307262.75,63488966.99,64394465.35,6799687.13,85710183.53,42990246.58,55552879.66,41485469.06,68.93,86.72,65.28,41.74,37.31,2.7,85.53,46.73,25.13,38.52
390,Kazu,Canada,CAD,166110000.0,23.7,2510000000.0,229430000.0,1840000000.0,7300000000.0,524169999.99999994,22370000.0,13850000000.0,0.0,4580000.0,96240000000.0,18270725.0,48365904.82,47763084.94,69495911.2,3488435.14,97674770.14,97062615.39,57628064.0,9177958.99,91772021.37,52807636.95,88051766.66,99483715.36,22897682.71,35966751.96,97919334.57,98720869.49,64313800.74,87505454.95,13375980.29,64.83,96.63,97.96,58.83,37.36,3.53,21.1,40.1,24.03,56.61
620,Digitube,Netherlands,EUR,89690000.0,53.3,252830000.0,35010000.0,6350000000.0,238940000.0,345190000.0,5080000000.0,488080000.0,35320000000.0,608380000.0,115200000.0,98841194.95,76624114.94,22676731.02,29495911.96,27532910.09,89741805.53,85014951.89,18399023.0,18727402.91,70303921.69,55287410.56,72862241.4,83048374.36,15747020.6,69543434.48,48126894.85,30337757.62,32507810.61,37648016.9,80630197.81,27.54,77.24,67.14,11.05,74.4,24.59,60.86,48.21,15.1,75.91
679,Nlounge,Brazil,BRL,3310000000.0,86.7,25310000000.0,2630000.0,0.0,2320000000.0,5200000000.0,40930000.0,52530000.0,0.0,1230000000.0,10910000.0,84820398.94,88832473.86,25458060.34,19038993.26,56100567.63,75939477.14,54902132.66,87192745.25,66118997.15,66444138.14,83822075.97,14201174.33,82925126.96,88021015.22,25172489.52,89698994.88,86056588.58,45089434.93,22681078.88,4813490.26,33.94,71.77,8.55,78.59,10.1,30.25,66.07,52.04,92.84,94.08
822,Dabjam,Portugal,EUR,98940000.0,54.7,253220000.0,1710000000.0,209480000.0,1860000000.0,1930000.0,1180000000.0,203270000.0,6430000000.0,804760000.0,58530000.0,34108631.98,4256004.62,2414184.62,89584256.43,77961769.98,56016013.82,26401582.92,47060117.81,18711253.25,52171636.31,53154836.41,93734734.6,75854932.57,65743917.9,3145098.49,19533028.62,68667166.61,72830196.03,3144089.39,80515912.92,61.44,9.0,68.46,63.35,22.95,26.79,16.33,53.87,80.99,44.92
548,Buzzshare,Philippines,PHP,13010000.0,74.9,25340000000.0,192720000.0,0.0,748440000.0,8610000.0,19680000.0,0.0,2360000000.0,25180000000.0,1210000000.0,75720778.17,8325764.36,71238259.99,99843562.95,93967388.74,23710755.79,12592401.62,66549913.3,86696460.95,11054054.15,17486182.38,79533951.49,24136556.24,24006155.1,9715974.57,55326614.02,35773914.72,33988371.23,5377467.75,27609333.35,59.02,29.95,92.6,91.27,51.52,63.01,67.31,68.67,29.33,32.38
402,Ntag,Uganda,UGX,1320000000.0,49.3,25370000000.0,56320000.0,167440000.0,71210000.0,6850000000.0,3720000000.0,1200000000.0,0.0,1210000000.0,3610000000.0,99873145.88,86948638.45,39080675.96,5056405.17,42357976.79,37661995.24,53062640.69,64894295.89,72200314.98,69855939.98,9998497.87,50544976.67,67053224.68,10762569.05,31770593.34,27010813.5,98623047.47,86777444.66,69022715.13,45885285.16,25.35,63.78,62.74,66.66,89.79,63.59,63.4,49.77,75.66,59.08
672,Dynabox,China,CNY,427280000.0,62.3,2540000000.0,7200000000.0,53980000000.0,0.0,850590000.0,0.0,8330000000.0,105890000.0,683900000.0,145980000000.0,68848115.95,65678355.78,11195316.27,37823971.97,17777608.94,96694705.64,9171974.7,1131050.82,24253466.89,57467013.36,93020197.11,16291787.62,70718787.33,47657567.87,29946780.72,69659536.35,36862492.92,28925594.86,21972623.55,92228416.74,2.68,99.74,96.69,63.12,71.75,73.28,54.57,89.32,92.5,76.2
290,Oyope,United States,USD,2450000000.0,75.9,2540000000.0,279000000.0,0.0,9540000000.0,6030000000.0,2490000000.0,47320000000.0,185390000.0,3890000000.0,1550000000.0,32563136.02,30643604.69,90651354.57,96832126.22,65854923.61,23067570.55,91249345.45,41659604.68,18577962.1,69734932.02,31742201.19,3168974.16,4700172.81,93401336.58,17793311.51,77028283.52,1071238.73,54057012.63,50865329.67,68597750.82,72.24,91.93,22.1,97.44,82.69,38.99,50.57,58.91,7.72,43.58
858,Skidoo,Ukraine,UAH,27020000000.0,45.5,2540000000.0,442250000.0,10290000000.0,5480000000.0,276460000.0,7600000000.0,341720000.0,24060000000.0,18510000.0,145120000.0,30755674.13,10448478.12,2669489.44,59113667.37,8777188.9,30343474.63,4643022.56,35945737.25,92402687.29,17084477.49,75538942.14,25572249.77,85947763.29,74587433.6,34311505.59,44577792.28,47332966.67,69752400.35,59513096.55,49532568.22,91.86,91.67,36.98,11.88,97.55,3.43,78.85,90.07,43.46,8.07
348,Muxo,China,CNY,1390000000.0,54.6,256089999.99999997,566100000.0,3500000000.0,16579999999.999998,815130000.0,9120000.0,136040000.0,0.0,1150000000.0,330000000.0,22367306.58,6506202.06,63059.22,92127319.48,28206530.73,78267003.59,81289870.13,25178279.37,37699760.34,90194778.0,75347300.25,21536357.74,82928475.55,22586710.2,62781493.09,53564294.88,71325783.96,11299206.46,77950059.55,83408452.53,32.55,84.28,21.97,29.02,72.77,68.61,50.71,47.82,90.64,79.06
874,Twinte,Philippines,PHP,0.0,25.1,25850000.0,4160000000.0,653440000.0,85510000.0,8130000000.000001,1150000000.0,2960000000.0,293680000.0,877030000.0,18220000.0,44434978.91,25356039.22,59018265.85,91642303.59,50365568.33,51049866.67,83509786.86,92650079.85,31694413.73,64636508.23,82893484.73,59191979.93,77862646.51,99133718.94,24235313.2,94250423.29,43672275.1,98156483.41,5115909.99,91311067.0,72.79,12.75,92.23,45.77,63.99,21.38,36.42,83.68,45.09,43.04
664,Layo,Libya,LYD,21780000.0,80.3,25910000000.0,39270000000.0,250200000.0,0.0,2130000000.0,126720000.0,1050000000.0,22360000.0,587600000.0,0.0,48275612.34,92911485.9,97211649.38,57535226.12,53479570.69,6026186.5,59342393.25,67463917.42,27748646.28,9123899.02,12282216.72,12782124.91,50921868.36,22858792.85,5106178.24,80260895.02,84116575.66,99688825.17,31118233.38,55836342.2,21.39,18.59,28.35,61.1,16.11,75.94,21.45,62.02,89.31,13.0
115,Roombo,Russia,RUB,0.0,89.1,259779999.99999997,136010000.0,1920000000.0,0.0,0.0,328510000.0,2670000000.0,710190000.0,776780000.0,7220000000.0,31438794.04,15834657.18,31389233.58,42857771.08,77042022.55,26850636.43,30402888.39,53081253.52,34366541.23,51044821.7,1661374.98,97336621.45,79591865.16,68891755.89,18788843.43,56820066.51,76619555.75,56242352.34,57330965.59,35263803.42,40.08,22.84,98.16,95.24,17.03,13.02,96.02,41.71,8.69,49.22
689,Flashdog,China,CNY,0.0,49.9,2590000000.0,2000000000.0,359340000.0,106300000.0,10640000000.0,26420000000.0,0.0,209500000.0,749120000.0,4500000000.0,10012515.7,33888356.97,91313520.96,66046708.4,61692809.98,10896707.13,39725038.65,58074077.38,52653099.04,72862115.45,72995963.64,96065853.8,83401177.56,39067097.44,46212355.77,19572881.62,5180422.46,90977904.73,10617074.34,18615028.55,72.9,14.8,96.22,34.49,84.95,28.8,92.5,82.69,54.6,95.74
730,Yabox,China,CNY,5370000000.0,47.4,2590000000.0,434290000.0,25010000000.0,693720000.0,3790000000.0,13920000000.0,225700000.0,19420000.0,316710000.0,814950000.0,6630683.07,90985335.06,98795295.4,24143605.08,72223536.59,17781606.94,17198419.78,82023849.98,46644647.09,8341738.11,33229498.23,79378917.48,17014880.45,85015953.09,85191098.08,53002369.45,47391329.61,52260494.29,56234564.83,7105343.9,15.93,22.17,67.78,13.27,68.21,50.4,44.95,9.25,69.43,17.7
222,Gabspot,Czech Republic,CZK,1900000000.0,74.4,2500000000.0,6100000000.0,299600000.0,30310000.0,0.0,34480000.0,0.0,14490000000.0,20660000.0,0.0,28275335.57,87465738.07,87267833.73,86900433.21,83281904.64,42650001.46,98911737.09,99016437.41,18801351.72,93708202.67,48436910.81,849663.96,29484123.17,7100155.31,13401336.11,88039572.12,6128268.45,67770541.26,63817128.46,13094254.76,71.22,61.96,26.43,89.76,39.7,23.73,12.31,36.11,23.82,77.59
265,Photofeed,Philippines,PHP,608570000.0,94.9,2500000000.0,76520000.0,875690000.0,1050000000.0,7200000000.0,67870000.0,1430000000.0,187360000.0,177000000.0,2049999999.9999998,96050637.65,12007952.86,46135725.92,43459895.12,46411186.24,8376013.13,64886125.69,89252322.85,33515929.94,69147644.0,59886867.75,20097505.08,25068883.84,86951528.39,55239228.95,42387057.76,85866160.13,62115183.81,90040012.35,68917432.08,1.62,5.47,2.55,60.93,10.12,44.04,93.05,46.95,58.19,87.54
420,Avamm,Mali,XOF,462370000.0,95.3,261620000.0,17260000000.0,522679999.99999994,671800000.0,1970000000.0,119570000.0,203270000.0,107610000.0,256089999.99999997,0.0,21089060.98,4862911.26,27940905.81,71804648.81,59036225.71,43472447.33,79214387.7,16591555.01,11067461.45,21202150.54,8517620.01,97461240.74,97185885.27,86554300.49,84445614.62,44709797.55,74127472.48,98162652.93,80115449.0,36451103.48,25.97,91.95,16.49,64.28,42.25,11.61,53.73,74.78,60.77,51.79
703,Demimbu,Azerbaijan,AZN,219230000.0,95.9,261630000.0,6360000.0,499790000.0,1640000000.0,0.0,35970000000.0,169430000.0,2089999999.9999998,0.0,414380000.0,65940146.54,770860.64,1465765.24,65661678.46,71193839.41,80252707.44,68814776.16,3591197.98,53043279.72,44624277.14,78604452.64,83118431.44,95211370.5,2763705.17,49100704.77,52323580.93,46613711.79,88537858.25,80503559.62,83190037.89,79.26,54.54,68.78,63.05,44.91,2.46,43.03,77.54,28.18,76.63
